word,entropy_bits,expected_remaining,worst_case_remaining,is_possible_answer,frequency_score
palet,5.513464,90.1222,255,0,1.810151
crone,5.513074,94.0289,286,1,1.823542
reoil,5.511336,77.0095,186,0,1.863283
tenor,5.510925,86.7546,261,1,1.822894
nears,5.510888,80.5836,219,0,1.882073
taper,5.509663,89.4173,268,1,1.872786
arled,5.507850,90.2276,270,0,1.856587
senor,5.507039,84.1317,237,0,1.848596
saint,5.506725,104.2579,345,1,1.760907
soral,5.505344,85.8622,232,0,1.835205
haole,5.500207,79.9495,209,0,1.842981
irone,5.499766,83.6030,219,0,1.874082
lacer,5.498008,85.5564,249,0,1.895032
route,5.497868,87.1011,255,1,1.834125
claes,5.496876,89.9521,255,0,1.818143
tesla,5.495092,85.1521,221,0,1.834341
seron,5.493664,87.8544,237,0,1.836069
slant,5.492667,98.8911,317,1,1.747948
sabre,5.492649,90.6259,278,0,1.874082
cleat,5.489950,96.7676,264,1,1.824622
tinea,5.489598,87.7706,217,0,1.842333
tread,5.489401,95.2721,269,1,1.847084
irade,5.489154,85.4294,221,0,1.887473
larnt,5.489114,86.0333,208,0,1.773650
blare,5.489099,94.3952,291,1,1.877106
petar,5.488512,93.2989,268,0,1.835853
ramet,5.487836,90.7201,275,0,1.852052
cadre,5.487134,96.4013,307,0,1.812743
crape,5.487033,99.0916,304,0,1.822462
halse,5.485853,90.9084,241,0,1.792657
oaten,5.485553,81.5400,191,0,1.860475
urite,5.485223,86.3944,249,0,1.826566
hater,5.484931,87.9529,261,1,1.881210
spaer,5.484396,93.5149,270,0,1.899784
dearn,5.484031,96.0324,283,0,1.811231
spale,5.483055,99.3171,285,0,1.830238
clart,5.482731,96.7883,278,0,1.755724
earns,5.481821,82.4989,219,0,1.878402
sarin,5.481589,88.5093,245,0,1.780346
spate,5.481334,100.8497,288,0,1.833477
toran,5.480551,93.0216,256,0,1.761555
leans,5.480216,85.9840,225,0,1.817927
steal,5.480098,92.8600,238,1,1.886609
alist,5.479818,100.8186,313,0,1.730022
lanes,5.479720,82.1758,225,0,1.824406
thane,5.478899,94.4739,272,0,1.798704
tried,5.478131,102.0393,314,1,1.786609
rotes,5.477970,86.4635,246,0,1.846868
roule,5.477615,85.1650,235,0,1.830886
brane,5.476892,93.5434,300,0,1.855508
argle,5.476026,89.8112,270,0,1.849028
sayer,5.475470,81.2151,209,0,1.922894
aired,5.474454,90.0246,221,0,1.853132
sorta,5.473950,93.8570,266,0,1.818359
frate,5.473627,93.3473,291,0,1.862851
sient,5.473205,109.7240,303,0,1.783153
telia,5.472756,84.5300,194,0,1.852916
silen,5.472026,94.1093,274,0,1.763715
plane,5.471540,95.2108,286,1,1.787041
rouse,5.471529,90.3322,248,1,1.819870
tride,5.471469,97.9728,314,0,1.798920
clote,5.470648,89.4864,246,0,1.768898
ursae,5.470296,80.8073,202,0,1.883585
tuile,5.469856,92.7702,269,0,1.757451
ceorl,5.469774,91.9400,256,0,1.796112
sated,5.469078,88.6389,263,0,1.826566
maile,5.467955,91.2514,250,0,1.809719
daine,5.466859,97.3810,266,0,1.803672
heast,5.466539,106.3857,282,0,1.792657
drole,5.466172,93.8467,297,0,1.809071
roist,5.465735,97.3222,307,0,1.718790
paler,5.464839,90.8168,265,1,1.874730
loser,5.464574,83.1641,215,1,1.866307
taros,5.462777,89.7205,266,0,1.769330
arsed,5.462718,88.6415,257,0,1.836717
rites,5.461254,87.7948,247,0,1.819006
loure,5.460885,86.1222,235,0,1.825054
trode,5.460828,98.4782,323,0,1.805400
chare,5.460495,102.9663,296,0,1.832181
lores,5.459773,83.2384,215,0,1.846220
suite,5.458856,104.7322,295,1,1.786393
tripe,5.458828,97.8363,308,1,1.784449
morae,5.458782,90.5119,230,0,1.875162
crest,5.458308,98.5672,277,1,1.796544
paren,5.457104,92.9136,272,0,1.825702
tiars,5.456442,91.0225,262,0,1.771490
diane,5.455989,98.0592,266,0,1.790497
shear,5.455857,92.7451,238,1,1.870410
prole,5.453878,92.6475,284,0,1.805400
tiers,5.453039,92.9179,247,0,1.806911
rayle,5.451835,81.9823,215,0,1.891577
sauce,5.451607,95.3041,247,1,1.811447
great,5.451087,96.5724,276,1,1.838661
elain,5.450715,93.2877,258,0,1.833261
shire,5.449834,96.5058,273,1,1.819870
toles,5.448980,86.2371,224,0,1.774946
toeas,5.447241,84.9801,219,0,1.868251
roles,5.446534,83.7205,215,0,1.838877
raits,5.446283,89.2730,262,0,1.772354
large,5.445789,90.1689,270,1,1.847732
wrate,5.443698,94.5119,297,0,1.845788
teils,5.443642,93.6842,270,0,1.755292
dorse,5.443082,97.5849,301,0,1.783153
sager,5.442553,88.6406,262,0,1.880562
citer,5.442215,96.0721,277,0,1.803672
neats,5.442001,88.3987,239,0,1.805832
loner,5.440604,89.0467,221,0,1.849676
tamer,5.440076,93.1737,275,1,1.852700
haler,5.439614,84.9015,225,0,1.873218
cruet,5.439172,102.8609,308,0,1.756156
ceria,5.438555,88.3624,205,0,1.861555
toras,5.438205,92.3244,266,0,1.770626
rotal,5.438175,88.7451,224,0,1.788769
alder,5.437235,94.3123,270,0,1.854644
maise,5.436898,90.0143,229,0,1.798704
noise,5.436815,91.1564,256,1,1.785097
ramie,5.436326,86.1689,218,0,1.845788
stone,5.436302,94.2432,256,1,1.818790
adore,5.435577,89.0432,242,1,1.872786
races,5.435569,85.0821,237,0,1.847732
apert,5.435186,97.4467,268,0,1.817279
prise,5.434981,101.0553,297,0,1.787905
aures,5.434458,83.6454,202,0,1.857019
dares,5.434441,87.3758,257,0,1.838445
crame,5.433799,102.7624,313,0,1.805616
pareo,5.433189,89.5313,224,0,1.863283
rayne,5.433013,83.7758,216,0,1.853564
trans,5.432896,92.1153,274,0,1.750108
neals,5.432472,87.1693,225,0,1.802592
lapse,5.432352,99.4873,285,1,1.770842
denar,5.431976,98.6518,283,0,1.795032
score,5.431461,91.4778,255,1,1.833693
cates,5.431160,89.6678,248,0,1.806263
crena,5.430431,94.8436,263,0,1.833261
close,5.429751,95.0052,247,1,1.754644
leary,5.428538,88.9775,215,0,1.919438
triol,5.428477,90.5093,245,0,1.709287
cries,5.428222,92.7365,256,0,1.792009
potae,5.428205,89.4726,205,0,1.818790
hanse,5.427926,95.4389,257,0,1.756156
trope,5.427867,97.3292,302,1,1.790929
leirs,5.427680,85.5045,206,0,1.813391
tiles,5.427312,92.0756,270,0,1.747084
cared,5.427271,99.8251,307,0,1.801512
lader,5.426890,92.7538,270,0,1.865443
noter,5.426188,91.7214,261,0,1.840821
socle,5.425842,93.4423,247,0,1.765227
nates,5.425731,84.7961,239,0,1.815551
riles,5.425602,84.4782,206,0,1.811015
table,5.425587,98.6518,278,1,1.768898
trona,5.425572,96.1240,256,0,1.766307
neist,5.425297,103.9590,303,0,1.737581
throe,5.425007,99.6229,301,0,1.778834
feart,5.423012,101.3533,291,0,1.823326
shore,5.423007,97.9313,279,1,1.826350
blate,5.422839,99.4855,278,0,1.800864
rased,5.422556,88.7235,257,0,1.836933
tarns,5.422348,94.1326,274,0,1.726998
paste,5.421904,100.4108,288,1,1.788553
segar,5.421831,92.6708,262,0,1.833693
surat,5.421721,106.8212,304,0,1.750972
gater,5.421621,91.9737,276,0,1.857019
horse,5.421085,99.4855,279,1,1.777970
sayne,5.420785,89.9356,227,0,1.815335
pares,5.419938,93.6168,270,0,1.834773
oared,5.419757,90.0566,242,0,1.864795
arsey,5.419654,82.5387,209,0,1.910151
stela,5.418286,93.7447,238,0,1.866523
leapt,5.418120,96.6665,255,1,1.769330
truce,5.417510,102.0816,308,1,1.746652
grace,5.417198,100.7218,302,1,1.806695
recal,5.415518,92.3771,249,0,1.839741
tarsi,5.415247,92.1758,262,0,1.761123
saree,5.415214,98.1248,326,0,1.817495
earth,5.415127,97.2946,261,1,1.838661
sored,5.414878,100.2328,301,0,1.803888
stean,5.414327,96.1171,239,0,1.838661
tenia,5.414311,93.0242,217,0,1.816415
risen,5.414273,92.7564,244,1,1.782073
terns,5.413676,90.7210,256,0,1.777106
touse,5.413527,101.4873,263,0,1.755940
rones,5.412897,92.0393,237,0,1.802376
sable,5.412781,101.2479,297,0,1.794600
taber,5.410838,97.3015,287,0,1.838445
cause,5.410600,96.1274,247,1,1.779266
farse,5.410295,94.8549,287,0,1.825486
salep,5.409367,98.7244,285,0,1.794816
sture,5.408308,99.9166,286,0,1.825918
mater,5.406781,94.1801,275,0,1.854428
oiler,5.406298,84.0592,186,0,1.858963
coset,5.406214,98.6674,261,0,1.739093
tired,5.406060,103.7870,314,0,1.750324
lated,5.405894,94.1940,257,0,1.779482
liner,5.404407,92.4765,226,1,1.821814
stade,5.404164,93.4086,263,0,1.832181
rotan,5.404160,97.4570,256,0,1.740821
hares,5.403720,88.0419,238,0,1.833261
niter,5.403434,94.2933,270,0,1.812959
trues,5.403108,97.6013,286,0,1.772138
saned,5.402636,93.6505,272,0,1.782073
blaer,5.402170,99.1279,291,0,1.867171
dears,5.401704,93.8104,257,0,1.820302
aider,5.401613,93.8752,221,1,1.854428
rails,5.400381,87.7957,212,0,1.769114
taces,5.400270,89.8475,248,0,1.783801
spane,5.399899,102.2674,284,0,1.792225
seare,5.399448,103.9123,326,0,1.799352
pears,5.399247,99.0873,270,0,1.816631
areic,5.398901,87.4492,205,0,1.850540
coure,5.398001,102.7296,290,0,1.762419
sired,5.397990,98.2233,288,0,1.776026
lathe,5.397525,91.3965,245,1,1.786825
drone,5.397330,104.7218,324,1,1.771058
haste,5.397207,100.7365,282,1,1.787041
ayrie,5.396720,78.9879,171,0,1.866307
tails,5.396127,98.5983,313,0,1.705184
apter,5.395489,95.8950,268,0,1.830022
aeons,5.395354,85.3464,195,0,1.826566
blase,5.394758,105.3266,297,0,1.786609
sonce,5.394131,102.8108,268,0,1.738661
solei,5.394081,85.8942,209,0,1.807775
conte,5.392577,101.8328,289,0,1.720734
arpen,5.392531,97.2929,272,0,1.794816
saber,5.391689,94.1361,278,0,1.864147
carol,5.391532,98.9127,279,1,1.724190
pilae,5.391431,98.9724,252,0,1.782937
aloed,5.391037,95.8285,225,0,1.800000
brace,5.390863,107.1175,326,1,1.804968
curet,5.390515,106.9784,308,0,1.738229
shier,5.389754,99.5374,273,0,1.809935
prose,5.389719,101.8812,295,1,1.794384
tones,5.389418,96.3469,256,0,1.738445
tased,5.389260,91.8432,263,0,1.773002
lyase,5.387799,90.7935,242,0,1.794600
moire,5.387742,94.9050,249,0,1.781857
cline,5.387473,106.9352,319,0,1.721166
yeast,5.386119,95.1037,257,1,1.795464
clone,5.385966,100.7780,280,1,1.727646
samel,5.385636,99.0639,284,0,1.784665
farle,5.385126,95.0743,292,0,1.836501
snarl,5.384793,94.0048,240,1,1.769330
antes,5.384577,88.9905,239,0,1.791145
starn,5.383475,98.2311,274,0,1.769762
coast,5.383205,107.1296,329,1,1.692873
cores,5.383163,98.3503,255,0,1.783585
place,5.382929,112.2562,331,1,1.736501
slain,5.382783,104.4860,326,1,1.707559
recta,5.382665,91.1132,246,0,1.822894
orles,5.382397,83.2048,215,0,1.822462
clade,5.381490,107.7862,325,0,1.741037
lotes,5.381191,88.9516,224,0,1.761555
spear,5.381116,101.0268,270,1,1.838229
sceat,5.381036,104.7417,275,0,1.813175
erica,5.380545,94.2631,205,0,1.860691
hears,5.379745,95.3844,238,0,1.815119
maerl,5.379138,98.4816,270,0,1.812527
reate,5.378764,102.5222,332,0,1.761339
sault,5.378449,113.2575,360,0,1.695032
riels,5.377516,88.4911,206,0,1.791361
flare,5.377381,98.1663,292,1,1.843197
rials,5.376551,88.9214,212,0,1.755940
lairs,5.376382,88.1447,212,0,1.763283
scart,5.376119,107.7438,319,0,1.744276
coste,5.376098,99.4855,261,0,1.737365
outre,5.375945,94.3270,255,0,1.791361
prone,5.375318,101.6600,303,1,1.767387
seton,5.374315,98.9508,256,0,1.751404
resto,5.373969,90.5611,246,0,1.798272
arils,5.373626,86.2173,207,0,1.768898
spire,5.373608,103.7404,297,1,1.787689
lirot,5.373377,94.9905,245,0,1.680778
perst,5.373113,112.2769,327,0,1.731965
sieur,5.372800,94.0177,235,0,1.785961
lande,5.372505,99.3378,300,0,1.747300
rimae,5.372209,90.1222,218,0,1.824838
realm,5.371962,97.4838,270,1,1.804320
beast,5.371545,107.9149,295,1,1.766739
clast,5.371539,114.6406,368,0,1.665227
ureal,5.371434,86.7624,197,0,1.859611
ratos,5.371286,92.0445,266,0,1.748596
steil,5.370910,101.6661,270,0,1.772354
salto,5.369927,98.1197,286,0,1.729806
panel,5.369860,100.1343,286,1,1.744492
elans,5.369569,95.0320,252,0,1.805616
rines,5.369297,93.6333,244,0,1.774514
cires,5.368774,95.3508,256,0,1.755724
recit,5.368567,98.7987,277,0,1.754644
canes,5.368519,94.6518,257,0,1.761771
roans,5.368264,92.8721,260,0,1.745788
range,5.368066,100.1110,296,1,1.803888
lites,5.368058,94.8333,270,0,1.733693
cairn,5.367931,107.3525,311,1,1.691577
airts,5.367149,94.3374,262,0,1.735853
pleat,5.366346,106.3166,263,1,1.768467
piert,5.365780,109.4190,308,0,1.734773
drant,5.364770,104.5024,318,0,1.681641
satin,5.364484,109.3827,345,1,1.695680
cadet,5.364416,98.2700,277,1,1.738229
paten,5.364206,99.2644,268,0,1.741037
satem,5.363384,100.6484,286,0,1.779050
nerol,5.363050,88.5749,221,0,1.783585
meant,5.362752,103.0130,273,1,1.738877
leash,5.361860,100.5153,248,1,1.763931
shoer,5.361845,102.6544,279,0,1.816415
rotas,5.361059,94.9300,266,0,1.749892
artis,5.360603,94.0030,262,0,1.742765
plier,5.360555,103.9469,277,1,1.772570
layer,5.360411,87.8276,215,1,1.875810
caple,5.360082,111.3369,331,0,1.719222
noser,5.359521,93.5149,237,0,1.812959
acres,5.359026,88.2968,237,0,1.821598
losen,5.358971,95.0026,231,0,1.724622
ancle,5.358542,96.0333,273,0,1.747732
arete,5.358505,105.5693,332,0,1.746436
reins,5.357865,95.4121,244,0,1.781210
stern,5.357715,98.0238,256,1,1.805184
manet,5.357517,99.1469,273,0,1.745356
drape,5.357160,107.2030,327,1,1.769978
tapen,5.356886,98.2898,268,0,1.731102
louse,5.356775,99.2220,256,1,1.734557
yearn,5.355936,91.9961,216,1,1.808855
morse,5.354801,105.2445,296,0,1.751188
ailed,5.354538,101.9857,253,0,1.760475
selah,5.354387,102.5957,248,0,1.780130
urine,5.353582,95.9849,256,1,1.785313
tuner,5.353024,101.1590,280,0,1.757667
tines,5.352576,104.0272,303,0,1.710583
liers,5.352523,89.4259,206,0,1.785529
phare,5.351995,106.4479,298,0,1.776026
roted,5.351564,107.1089,323,0,1.757451
cabre,5.350789,107.9667,326,0,1.764363
cruse,5.350376,104.7806,304,0,1.740173
coral,5.350115,104.1110,279,1,1.725486
tonal,5.349625,100.6700,278,1,1.680346
thole,5.349010,97.7611,260,0,1.721166
ratio,5.348652,92.0039,192,1,1.771490
drest,5.348261,105.6644,306,0,1.744060
elint,5.348128,109.8570,301,0,1.751620
slide,5.347631,105.2125,314,1,1.728726
cosie,5.347567,95.6972,256,0,1.732829
prest,5.347433,116.1775,327,0,1.740389
shite,5.347229,120.5490,349,0,1.743629
padre,5.346694,106.9585,327,0,1.756587
togae,5.346581,94.8030,220,0,1.790929
snort,5.346085,111.1572,330,1,1.682937
troad,5.345945,109.0579,306,0,1.696112
loran,5.344972,95.7283,227,0,1.740173
leare,5.344437,104.0505,325,0,1.752268
doter,5.344423,107.4795,323,0,1.779050
braes,5.343578,97.8510,278,0,1.830454
sloan,5.343517,105.1512,299,0,1.706263
manse,5.343396,101.6808,280,0,1.729374
aiery,5.343375,87.0354,171,0,1.893737
liars,5.343365,90.5525,212,0,1.750108
tribe,5.343156,105.5287,326,1,1.744708
since,5.342905,109.3093,314,1,1.710799
trave,5.342854,102.4946,323,0,1.820518
taroc,5.342108,101.0078,294,0,1.694816
orals,5.342042,85.3793,232,0,1.767387
clean,5.341881,108.9266,273,1,1.747516
curie,5.341759,102.1879,263,0,1.731965
mitre,5.341713,101.9210,298,0,1.729158
rosit,5.341429,103.0717,307,0,1.675810
resin,5.341161,95.7387,244,1,1.756156
slipe,5.341125,115.3568,338,0,1.714255
arson,5.340566,96.9542,260,1,1.711447
uraei,5.340463,81.4225,187,0,1.889417
grise,5.339734,104.2467,294,0,1.762203
spore,5.339150,103.8657,295,1,1.794168
inert,5.339046,97.9434,270,1,1.774730
gares,5.339036,93.0708,262,0,1.809071
laris,5.338675,89.2765,207,0,1.742333
maser,5.338280,96.3832,270,0,1.826566
snirt,5.337864,115.5529,335,0,1.676458
scrat,5.337372,108.3166,319,0,1.715551
shiel,5.337360,105.4130,295,0,1.716199
lager,5.337209,96.8151,270,1,1.833477
teins,5.337162,106.6691,303,0,1.717279
mares,5.336513,96.1991,270,0,1.806479
reads,5.336248,95.7948,257,0,1.801080
sidle,5.335668,107.6497,314,0,1.707775
sware,5.335427,103.0950,298,0,1.840389
snail,5.335312,106.4030,326,1,1.688553
cedar,5.335038,108.9179,307,1,1.755940
curse,5.334817,108.3650,304,1,1.722246
talon,5.334636,100.1145,278,1,1.667603
sider,5.334437,102.0557,288,0,1.777322
laces,5.334403,93.5253,255,0,1.762419
gorse,5.333121,105.1754,303,0,1.753780
rouen,5.333054,104.2441,267,0,1.758747
salon,5.332360,101.6428,299,1,1.693305
baler,5.332347,101.8829,291,1,1.847300
caper,5.331900,106.1352,304,1,1.788769
eorls,5.331785,92.1369,215,0,1.809071
triad,5.330471,109.2851,305,1,1.689633
rains,5.330116,95.0035,245,0,1.731102
presa,5.328471,104.7210,270,0,1.804104
luter,5.328448,97.0052,229,0,1.780778
their,5.327519,106.8177,295,1,1.730454
drice,5.326990,114.4575,343,0,1.714039
clies,5.326987,102.9482,292,0,1.696112
rapes,5.326744,96.3002,270,0,1.804104
rents,5.325684,93.8423,256,0,1.753132
locie,5.325616,95.7637,231,0,1.716847
stage,5.325268,102.5611,278,1,1.803456
ulnae,5.325174,96.3918,225,0,1.771058
petal,5.325046,105.8778,255,1,1.742117
seric,5.324881,94.8583,256,0,1.765011
deals,5.324684,102.4903,272,0,1.740821
claro,5.324382,103.6739,279,0,1.716199
sepal,5.324341,110.5551,285,0,1.757883
triac,5.323906,102.3616,295,0,1.704536
enact,5.323889,106.4030,287,1,1.756156
toper,5.323192,106.4255,302,0,1.765443
tsade,5.322809,95.3222,263,0,1.772138
caron,5.322647,109.3326,315,0,1.676242
trios,5.322439,103.1425,307,0,1.670410
inlet,5.321632,99.0933,271,1,1.714903
redan,5.320346,105.8916,283,0,1.762203
arced,5.320179,106.4894,307,0,1.758099
tepal,5.320115,104.5732,255,0,1.732181
hoise,5.319605,101.4803,271,0,1.718143
lamer,5.319061,98.1205,270,0,1.831317
peals,5.319017,107.9391,285,0,1.737149
price,5.318990,114.2700,336,1,1.710367
cruel,5.318870,103.6419,290,1,1.726998
cadie,5.318191,103.9849,267,0,1.731965
early,5.317116,96.5879,215,1,1.900432
trash,5.316939,116.0687,352,1,1.696112
lased,5.316607,96.7184,272,0,1.751620
